,Artist,Song,Duration(ms),Year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
128,Kelly Clarkson,Because Of You,219493,2006,0.583,0.584,5,-5.362,0.0314,0.254,0.0,0.123,0.136,140.039
129,The Pussycat Dolls,Stickwitu,207507,2006,0.655,0.54,9,-6.482,0.0516,0.268,0.0,0.068,0.43,79.983
130,The Black Eyed Peas,My Humps,326960,2006,0.801,0.682,1,-5.919,0.225,0.111,1.56e-05,0.109,0.586,123.95
131,Chris Brown,Yo (Excuse Me Miss),229040,2006,0.536,0.612,4,-5.847,0.272,0.119,0.0,0.209,0.57,86.768
132,Kelly Clarkson,Walk Away,189307,2006,0.75,0.888,0,-4.524,0.0426,0.0147,1.11e-06,0.0759,0.935,115.973
133,D4L,Laffy Taffy,224253,2006,0.891,0.439,7,-7.994,0.428,0.0351,0.0,0.0932,0.622,77.499
134,T.I.,What You Know,274333,2006,0.551,0.81,11,-4.365,0.0344,0.0155,0.0,0.169,0.332,73.464
135,The All-American Rejects,Dirty Little Secret,193653,2006,0.465,0.954,10,-4.251,0.044,0.000346,5.38e-06,0.573,0.458,143.85
136,Nickelback,Savin' Me,219320,2006,0.441,0.815,3,-4.088,0.0276,0.000731,0.0,0.414,0.522,164.021
137,Ne-Yo,Sexy Love,220853,2006,0.693,0.516,8,-6.446,0.0413,0.297,0.000127,0.0604,0.494,94.02
138,E-40 ,U And Dat,202720,2006,0.858,0.484,6,-7.448,0.277,0.0241,1.8e-06,0.123,0.329,99.992
139,Nickelback,Far Away,238173,2006,0.518,0.797,6,-5.153,0.0309,0.000696,0.0,0.107,0.293,132.915
140,Field Mob ,So What,216000,2006,0.931,0.486,6,-10.558,0.139,0.0579,0.0,0.161,0.896,120.026
141,Cherish ,Do It To It,226293,2006,0.826,0.67,2,-5.559,0.169,0.00798,0.0,0.495,0.794,74.007
